Title,Year,Director,Lead Actors,Rating,Rating Count
The Incredibles,2004,Brad Bird ,"Craig T. Nelson, Samuel L. Jackson",8.0,"728,172"
To Be or Not to Be,1942,Ernst Lubitsch ,"Carole Lombard, Jack Benny",8.0,"37,212"
La battaglia di Algeri,1966,Gillo Pontecorvo ,"Brahim Hadjadj, Jean Martin",8.0,"60,124"
The Grapes of Wrath,1940,John Ford ,"Henry Fonda, Jane Darwell",8.0,"93,163"
Rebecca,1940,Alfred Hitchcock ,"Laurence Olivier, Joan Fontaine",8.0,"136,910"
Hachi: A Dog's Tale,2009,Lasse Hallström ,"Richard Gere, Joan Allen",8.0,"283,069"
Cool Hand Luke,1967,Stuart Rosenberg ,"Paul Newman, George Kennedy",8.0,"176,773"
Jai Bhim,2021,T.J. Gnanavel ,"Suriya, Lijo Mol Jose",8.0,"197,997"
Amores perros,2000,Alejandro G. Iñárritu ,"Emilio Echevarría, Gael García Bernal",8.0,"239,840"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski ,"Johnny Depp, Geoffrey Rush",8.0,"1,115,601"
La haine,1995,Mathieu Kassovitz ,"Vincent Cassel, Hubert Koundé",8.0,"172,232"
Babam ve Oglum,2005,Cagan Irmak ,"Çetin Tekindor, Fikret Kuskan",8.0,"86,591"
Les quatre cents coups,1959,François Truffaut ,"Jean-Pierre Léaud, Albert Rémy",8.0,"117,491"
Persona,1966,Ingmar Bergman ,"Bibi Andersson, Liv Ullmann",8.0,"118,113"
It Happened One Night,1934,Frank Capra ,"Clark Gable, Claudette Colbert",8.0,"103,748"
The Sound of Music,1965,Robert Wise ,"Julie Andrews, Christopher Plummer",8.0,"232,457"
Life of Brian,1979,Terry Jones ,"Graham Chapman, John Cleese",8.0,"397,733"
Ah-ga-ssi,2016,Park Chan-wook ,"Kim Min-hee, Ha Jung-woo",8.0,"144,582"
Dersu Uzala,1975,Akira Kurosawa ,"Maksim Munzuk, Yuriy Solomin",8.0,"29,539"
Aladdin,1992,Ron Clements ,"Scott Weinger, Robin Williams",8.0,"414,625"
Gandhi,1982,Richard Attenborough ,"Ben Kingsley, John Gielgud",8.0,"231,001"
The Help,2011,Tate Taylor ,"Viola Davis, Emma Stone",8.0,"456,372"
The Iron Giant,1999,Brad Bird ,"Eli Marienthal, Harry Connick Jr.",8.0,"194,076"
