Title,Location,Price,Area,Number of Rooms,Interior
                        Apartment Keizersgracht 391 C                            ,            1016 EJ Amsterdam (Grachtengordel-West)        ,"                €2,200 per month            ",71 m²,3 rooms,Upholstered
                        Apartment Beethovenstraat 135 4                            ,            1077 JB Amsterdam (Prinses Irenebuurt e.o.)        ,"                €3,000 per month            ",105 m²,4 rooms,Upholstered
                        Apartment Ruysdaelkade 15 II                            ,            1072 AG Amsterdam (Oude Pijp)        ,"                €3,450 per month            ",101 m²,4 rooms,Upholstered
                        Apartment Van der Hoopstraat                            ,            1051 VE Amsterdam (Staatsliedenbuurt)        ,"                €1,750 per month            ",45 m²,2 rooms,Furnished
                        Apartment Bronckhorststraat 46                            ,            1071 WV Amsterdam (Museumkwartier)        ,"                €3,500 per month            ",104 m²,4 rooms,Upholstered
                        Apartment Bilderdijkkade                            ,            1053 VK Amsterdam (Van Lennepbuurt)        ,"                €3,100 per month            ",115 m²,2 rooms,Furnished
                        Apartment Johan Hofmanstraat                            ,            1069 KD Amsterdam (Osdorp-Midden)        ,"                €2,000 per month            ",95 m²,3 rooms,Upholstered
                        Apartment Oostenburgerpark                            ,            1018 HT Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,800 per month            ",55 m²,2 rooms,Furnished
                        Apartment Bilderdijkkade                            ,            1053 VB Amsterdam (Da Costabuurt)        ,"                €2,350 per month            ",83 m²,3 rooms,Furnished
                        Apartment Speerstraat                            ,            1076 XN Amsterdam (Stadionbuurt)        ,"                €1,700 per month            ",45 m²,2 rooms,Furnished
                        Apartment Herengracht                            ,            1016 BB Amsterdam (Grachtengordel-West)        ,"                €3,950 per month            ",133 m²,7 rooms,Upholstered
                        Apartment Wilhelminastraat                            ,            1054 VW Amsterdam (Helmersbuurt)        ,"                €1,750 per month            ",60 m²,2 rooms,Upholstered
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,750 per month            ",145 m²,5 rooms,Upholstered
